Overall Satisfaction,Attribute 00,Attribute 01,Attribute 02,Attribute 03,Attribute 04,Attribute 05,Attribute 06,Attribute 07,Attribute 08,Attribute 09,Attribute 10,Attribute 11,Attribute 12,Attribute 13,Attribute 14,Attribute 15,Attribute 16,Attribute 17,Attribute 18,Attribute 19,Weight
7,7,7,8,9,9,8,9,9,7,8,7,8,9,10,5,8,7,8,9,8,0.54789667
8,7,10,9,10,6,8,10,8,8,6,10,10,6,8,10,8,4,7,5,7,0.413141874
7,7,8,8,10,7,9,9,9,8,8,9,8,8,5,6,8,7,7,8,6,0.195384984
8,8,10,7,10,10,10,10,10,10,10,10,10,10,9,10,10,9,10,10,9,0.22469629
8,8,9,8,10,10,10,10,10,10,10,10,10,8,7,10,10,10,10,10,8,0.717315321
9,9,10,8,10,10,10,10,9,8,8,8,9,9,8,8,9,8,9,10,8,0.268707843
8,7,8,7,10,8,9,10,9,5,7,9,8,8,9,7,9,8,7,8,9,0.878237395
8,8,8,6,10,8,8,9,8,8,8,6,7,7,6,8,9,4,7,9,3,0.882523581
10,10,10,7,10,5,7,8,8,8,8,8,8,8,8,8,8,8,6,8,5,0.511547857
8,8,8,6,8,5,9,8,6,6,6,6,5,6,6,5,6,5,6,6,6,0.107772605
8,8,10,8,8,8,9,10,10,8,8,8,8,9,7,8,8,9,9,8,10,0.418691513
10,10,10,10,10,10,10,10,10,10,10,10,8,10,8,10,10,5,9,10,8,0.074072748
9,9,9,8,10,9,9,10,9,8,8,8,8,9,8,8,9,7,6,9,6,0.001428095
8,8,8,8,9,8,8,8,8,6,6,8,8,8,8,7,8,8,8,8,8,0.252323758
9,9,10,7,10,8,8,8,8,8,8,8,8,8,8,5,8,8,8,8,8,0.318065695
8,8,7,6,9,8,10,10,8,10,9,10,10,10,9,10,10,10,10,6,4,0.590524884
8,8,8,8,8,8,8,9,8,8,7,8,8,7,8,9,7,5,8,8,7,0.04280121
7,8,9,6,9,7,8,9,8,7,7,7,5,6,7,8,8,6,7,8,6,0.434535528
6,6,6,6,7,6,6,6,5,5,6,6,6,6,7,6,6,6,6,6,6,0.092209883
9,9,9,8,10,7,9,9,7,3,5,7,7,7,8,7,9,5,8,8,3,0.556482425
8,8,8,8,9,5,8,8,8,6,6,6,5,5,6,6,7,5,7,7,5,0.146522947
8,7,8,9,9,8,9,8,9,8,8,8,6,8,8,8,8,4,8,8,4,0.088271425
9,9,9,9,10,10,9,10,10,8,8,9,9,10,10,9,10,8,10,9,8,0.018129667
9,9,9,9,9,9,9,9,9,9,9,9,8,9,10,9,9,8,9,9,8,0.055555476
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,10,10,7,0.249658205
10,9,9,9,9,9,9,,9,6,9,9,8,9,9,9,9,5,9,9,5,0.328794272
9,7,7,9,8,7,9,8,7,7,7,7,7,7,7,6,8,7,8,8,7,0.57218102
9,9,9,7,7,9,6,6,8,6,6,5,6,9,10,9,10,7,9,9,4,0.128520957
9,9,8,8,10,,,,,,,,,,,,,,,,,0.701958475
2,2,5,6,2,8,7,3,8,5,5,6,4,5,9,7,7,7,8,8,8,0.308320192
6,6,6,8,8,4,9,9,9,5,8,9,9,10,10,9,8,6,9,10,5,0.447851085
9,9,9,9,10,,,,,,,,,,,,,,,,,0.6831561
8,8,8,5,8,7,7,9,9,9,9,9,4,9,4,9,7,3,9,9,5,0.097063453
10,8,10,8,10,9,8,9,10,9,9,9,8,8,8,9,9,7,9,9,8,0.33168723
6,6,6,6,6,6,6,6,5,5,6,6,5,6,7,5,7,5,6,5,6,0.751222158
10,10,10,7,9,9,10,10,10,8,8,7,7,9,7,9,8,9,10,8,9,0.604635072
9,9,9,,10,7,7,8,9,5,8,7,6,8,8,8,,6,8,9,7,0.84760581
8,8,8,9,9,7,7,7,8,8,8,8,8,8,8,8,8,,,8,,0.539747636
7,7,1,6,8,7,6,8,7,5,7,7,7,7,6,9,8,7,8,1,7,0.804977699
5,6,6,6,8,5,6,7,6,6,6,5,4,4,5,5,6,4,5,6,4,0.802247596
6,6,6,,8,,6,8,5,5,5,5,4,8,8,8,7,3,8,8,6,0.73401369
8,8,6,7,10,8,8,8,10,8,8,8,9,9,9,10,10,6,8,8,5,0.840329822
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.985954822
5,6,7,5,8,6,6,6,6,6,6,6,6,6,,5,6,4,6,,5,0.828760063
10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,5,10,6,5,0.650733293
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.76544231
6,8,8,8,7,7,8,8,8,8,8,9,9,7,8,8,9,6,9,7,9,0.808543573
7,7,7,8,10,8,8,9,9,6,7,8,7,9,9,9,8,3,8,8,3,0.611129906
5,5,6,6,8,6,5,6,6,5,5,5,6,6,5,6,7,5,5,6,5,0.866236867
10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,0.219815429
9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,7,9,7,9,8,8,0.004341861
8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,8,8,4,8,6,5,0.054710556
6,7,6,8,7,,,,,,,,,,,,,,,,,0.458225514
6,6,6,4,7,6,4,6,5,5,5,5,6,6,5,4,5,5,8,9,5,0.716101961
9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.568788015
10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,9,10,9,10,,10,0.345815616
5,5,5,5,5,5,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,0.137584805
6,6,6,5,10,,,,,,,,,,,,,,,,,0.455373081
9,9,9,8,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0.097630782
8,8,8,8,10,7,8,9,9,7,8,8,6,9,8,8,9,6,8,8,8,0.820081331
6,6,,6,8,6,7,6,6,6,6,6,5,7,,8,6,6,6,7,6,0.013119025
10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,0.936066773
9,8,9,8,10,7,9,8,9,7,8,8,5,9,9,9,9,6,8,8,5,0.618474042
7,7,8,8,8,7,7,7,8,8,8,7,7,7,7,7,7,4,7,6,7,0.907448061
5,5,5,6,6,6,6,5,6,6,6,6,6,5,6,6,6,4,6,6,6,0.526607987
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.889421259
8,8,8,8,8,9,8,8,8,8,8,8,9,9,8,8,8,7,9,8,8,0.356129381
8,7,10,7,10,9,8,9,10,8,8,8,7,9,7,8,8,8,10,10,8,0.575310296
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.722015682
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.120679689
8,8,8,7,10,7,7,8,8,7,7,7,7,7,8,8,8,7,7,8,7,0.581827326
,9,9,9,10,,,,,,,,,,,,,,,,,0.336125976
8,8,8,8,8,8,8,8,8,5,7,8,8,8,7,8,8,8,8,8,8,0.193037921
8,8,8,8,9,8,8,9,8,7,8,8,7,8,8,8,8,6,7,9,7,0.620871974
8,8,9,7,9,8,8,8,8,7,8,8,8,8,8,8,8,7,8,8,8,0.721902638
4,5,4,4,5,,,,,,,,,,,,,,,,,0.654089902
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.889917095
5,6,7,6,8,5,7,7,8,6,7,6,6,7,7,7,7,4,6,7,4,0.801261427
9,9,9,9,10,8,8,9,9,8,8,8,8,8,9,7,9,9,8,8,8,0.416866403
8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,0.712301824
8,9,9,8,9,9,9,9,9,8,8,8,8,6,7,9,9,8,8,8,8,0.88841625
9,8,8,8,9,8,8,9,7,8,8,8,7,9,9,9,9,8,8,9,7,0.154615636
9,9,9,8,10,8,9,9,9,9,9,9,8,8,7,8,9,8,9,9,8,0.726421638
9,9,9,9,9,,,,,,,,,,,,,,,,,0.071708619
10,10,9,10,10,9,9,10,10,9,9,10,9,9,9,9,9,6,9,9,6,0.653885677
8,8,8,7,10,,,,,,,,,,,,,,,,,0.294505319
6,5,6,6,8,,,,,,,,,,,,,,,,,0.546824446
5,5,1,1,10,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,0.585444189
8,8,8,8,5,8,8,8,8,6,8,8,6,8,8,6,8,6,5,8,6,0.127675517
5,5,3,5,9,5,8,9,9,9,7,7,4,6,6,4,6,2,5,7,5,0.716171643
7,6,6,6,8,6,7,8,8,6,7,7,5,6,6,7,7,6,6,6,5,0.580302972
4,4,5,3,8,6,6,6,6,5,5,5,3,4,5,3,6,5,5,6,5,0.980060524
6,6,6,5,9,7,7,8,8,5,5,5,4,5,8,6,8,6,8,8,7,0.745227876
9,9,10,9,10,8,9,10,10,8,8,9,9,10,10,10,10,7,10,10,7,0.929536386
9,9,9,9,10,8,9,9,9,9,9,9,8,8,9,8,8,7,8,8,7,0.377673533
8,8,8,7,10,,,,,,,,,,,,,,,,,0.235697981
8,8,8,7,8,8,8,8,,7,8,8,8,8,8,8,8,8,8,8,8,0.432059749
8,7,7,,9,8,9,9,9,7,8,7,6,8,8,8,8,8,8,8,7,0.590827406
7,7,8,6,9,8,8,8,8,7,7,7,5,7,9,7,8,6,7,7,5,0.152514585
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.15169018
6,6,6,7,8,6,7,7,7,5,5,6,6,7,7,7,7,5,6,6,5,0.695804985
8,8,8,8,9,7,8,8,8,8,8,8,7,7,,7,7,7,8,8,7,0.20883014
9,9,9,9,10,9,10,10,9,9,9,9,9,9,10,10,9,7,9,9,6,0.41737454
8,8,8,7,7,9,9,9,8,5,7,7,8,7,8,8,9,9,9,9,9,0.743594145
10,10,10,8,10,10,10,10,10,10,10,10,10,10,9,10,10,8,10,10,10,0.221429162
8,8,9,8,9,8,9,9,9,9,9,9,9,8,8,8,8,7,8,8,7,0.221448581
8,8,8,8,10,9,8,9,8,9,7,9,8,9,7,9,8,8,8,9,7,0.340574072
9,8,8,8,9,9,9,10,10,9,8,9,9,10,10,10,10,9,9,9,10,0.382493273
9,9,9,9,10,,,,,,,,,,,,,,,,,0.782672919
7,7,6,8,8,6,7,6,7,6,5,7,4,7,8,8,7,7,8,6,6,0.623243944
6,7,8,5,6,7,8,8,5,7,7,7,7,8,5,7,8,6,8,7,6,0.382435058
9,8,8,8,10,8,8,8,8,8,9,9,9,8,8,8,8,8,8,8,8,0.360241674
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.814496647
8,8,8,6,10,7,8,6,8,8,8,8,8,9,5,7,9,8,8,8,7,0.285989635
9,10,9,9,10,10,10,10,10,9,10,10,9,10,10,10,10,9,10,10,9,0.499458097
8,8,8,8,9,8,8,8,8,,7,8,8,7,7,7,8,6,7,8,6,0.521010384
8,8,8,8,10,8,8,8,8,5,6,6,5,6,6,5,8,8,8,8,8,0.315052651
